factor_j,slice,n,rmse_mean,mae_mean,nll,sharp,reg_ece,reg_ece_pf_mean,reg_ece_pf,coverage_pf_50_80_90_95,seed,model,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag
0,lo10,2520,0.5067592859268188,0.3933469355106354,-0.3933359384536743,0.24862785637378693,0.041750695556402206,0.041750695556402206,"[0.11304564028978348, 0.020233646035194397, 0.03175894543528557, 0.02528962306678295, 0.038291528820991516, 0.03889142721891403, 0.05379491299390793, 0.025119662284851074, 0.016146257519721985, 0.054935306310653687]","[[0.3285714387893677, 0.692460298538208, 0.8611111044883728, 0.9341269731521606], [0.4861111044883728, 0.807539701461792, 0.9111111164093018, 0.9623016119003296], [0.4920634925365448, 0.7749999761581421, 0.8813492059707642, 0.9313492178916931], [0.5071428418159485, 0.800000011920929, 0.8992063403129578, 0.949999988079071], [0.46190476417541504, 0.7896825671195984, 0.8976190686225891, 0.9480158686637878], [0.4630952477455139, 0.7876983880996704, 0.898809552192688, 0.9547619223594666], [0.3960317373275757, 0.7182539701461792, 0.8626984357833862, 0.9341269731521606], [0.5107142925262451, 0.7896825671195984, 0.8900793790817261, 0.9420635104179382], [0.4932539761066437, 0.811904788017273, 0.9142857193946838, 0.9630952477455139], [0.3996031880378723, 0.7988095283508301, 0.938095211982727, 0.9698412418365479]]",45,MeanPoolLinear_NLL,MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed45,meanpool_linear,MeanPoolLinear,nll,NLL
0,hi10,2520,0.5204838514328003,0.3967732787132263,-0.3529852628707886,0.26721975207328796,0.036593127995729446,0.036593127995729446,"[0.10750319808721542, 0.02247941866517067, 0.04212058335542679, 0.03763974830508232, 0.01930583082139492, 0.024976104497909546, 0.028452502563595772, 0.022330936044454575, 0.02800355851650238, 0.03311936557292938]","[[0.41428571939468384, 0.6904761791229248, 0.8154761791229248, 0.882539689540863], [0.4753968119621277, 0.7781745791435242, 0.8888888955116272, 0.9388889074325562], [0.48571428656578064, 0.7916666865348816, 0.8928571343421936, 0.9480158686637878], [0.4761904776096344, 0.7972221970558167, 0.8940476179122925, 0.9484127163887024], [0.4892857074737549, 0.8055555820465088, 0.908730149269104, 0.9523809552192688], [0.4861111044883728, 0.7861111164093018, 0.8896825313568115, 0.9432539939880371], [0.4615079462528229, 0.7595238089561462, 0.8535714149475098, 0.9194444417953491], [0.4682539701461792, 0.7753968238830566, 0.8880952596664429, 0.9432539939880371], [0.46388888359069824, 0.7904762029647827, 0.8984127044677734, 0.9488095045089722], [0.39722222089767456, 0.807539701461792, 0.920634925365448, 0.9523809552192688]]",45,MeanPoolLinear_NLL,MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed45,meanpool_linear,MeanPoolLinear,nll,NLL
1,lo10,2520,0.5025158524513245,0.37873926758766174,-0.42314013838768005,0.24366189539432526,0.039144765585660934,0.039144765585660934,"[0.033845674246549606, 0.08762342482805252, 0.04717740789055824, 0.03977496176958084, 0.03258093073964119, 0.028215277940034866, 0.017716526985168457, 0.028888603672385216, 0.027937453240156174, 0.047687407582998276]","[[0.46587300300598145, 0.783730149269104, 0.898809552192688, 0.9527778029441833], [0.40912699699401855, 0.7035714387893677, 0.8380952477455139, 0.9174603223800659], [0.4952380955219269, 0.7809523940086365, 0.8785714507102966, 0.9353174567222595], [0.4988095164299011, 0.807539701461792, 0.9079365134239197, 0.9591270089149475], [0.4829365015029907, 0.8103174567222595, 0.9007936716079712, 0.9583333134651184], [0.5249999761581421, 0.8019841313362122, 0.898809552192688, 0.9496031999588013], [0.49563491344451904, 0.7920634746551514, 0.8920634984970093, 0.9428571462631226], [0.4853174686431885, 0.7730158567428589, 0.8833333253860474, 0.9416666626930237], [0.4753968119621277, 0.7932539582252502, 0.9023809432983398, 0.958730161190033], [0.38134920597076416, 0.807539701461792, 0.9317460060119629, 0.9702380895614624]]",45,MeanPoolLinear_NLL,MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed45,meanpool_linear,MeanPoolLinear,nll,NLL
1,hi10,2520,0.47744449973106384,0.3633410334587097,-0.4586600065231323,0.2242487072944641,0.031541574746370316,0.031541574746370316,"[0.024390485137701035, 0.06446274369955063, 0.030299415811896324, 0.033146657049655914, 0.036682333797216415, 0.044297151267528534, 0.013586590997874737, 0.011620494537055492, 0.0191299170255661, 0.03779993951320648]","[[0.4781745970249176, 0.7861111164093018, 0.8948412537574768, 0.9444444179534912], [0.3880952298641205, 0.7079365253448486, 0.8523809313774109, 0.9246031641960144], [0.47777777910232544, 0.7857142686843872, 0.9007936716079712, 0.9507936239242554], [0.4821428656578064, 0.7952380776405334, 0.894444465637207, 0.9456349015235901], [0.49563491344451904, 0.7952380776405334, 0.8920634984970093, 0.9404761791229248], [0.45277777314186096, 0.7591269612312317, 0.8777777552604675, 0.936904788017273], [0.5035714507102966, 0.7944444417953491, 0.9035714268684387, 0.9492063522338867], [0.5154761672019958, 0.8059523701667786, 0.9031745791435242, 0.9551587104797363], [0.5035714507102966, 0.8023809790611267, 0.9071428775787354, 0.9531745910644531], [0.41626983880996704, 0.8416666388511658, 0.9432539939880371, 0.9682539701461792]]",45,MeanPoolLinear_NLL,MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed45,meanpool_linear,MeanPoolLinear,nll,NLL
2,lo10,2520,0.512384831905365,0.39258873462677,-0.3924786448478699,0.2472589910030365,0.04864087328314781,0.04864087328314781,"[0.04596126452088356, 0.023836754262447357, 0.20438621938228607, 0.02498435042798519, 0.040390823036432266, 0.02900218963623047, 0.02710874006152153, 0.021490467712283134, 0.021141095086932182, 0.048106852918863297]","[[0.4551587402820587, 0.7710317373275757, 0.8908730149269104, 0.9408730268478394], [0.47579365968704224, 0.7626984119415283, 0.8746031522750854, 0.9376984238624573], [0.2928571403026581, 0.5734127163887024, 0.742460310459137, 0.863095223903656], [0.4801587164402008, 0.7928571701049805, 0.9027777910232544, 0.9547619223594666], [0.5222222208976746, 0.8305555582046509, 0.925000011920929, 0.9682539701461792], [0.4932539761066437, 0.7865079641342163, 0.8920634984970093, 0.9503968358039856], [0.4793650805950165, 0.7726190686225891, 0.8916666507720947, 0.9480158686637878], [0.5206349492073059, 0.8023809790611267, 0.8976190686225891, 0.9476190209388733], [0.5039682388305664, 0.8051587343215942, 0.8996031880378723, 0.9559524059295654], [0.3888888955116272, 0.813095211982727, 0.9317460060119629, 0.9678571224212646]]",45,MeanPoolLinear_NLL,MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed45,meanpool_linear,MeanPoolLinear,nll,NLL
2,hi10,2520,0.5404816269874573,0.41788142919540405,-0.3181839883327484,0.26603254675865173,0.048915985971689224,0.048915985971689224,"[0.04913966730237007, 0.025464124977588654, 0.15374387800693512, 0.03853413462638855, 0.08771199733018875, 0.022361142560839653, 0.029561785981059074, 0.012838675640523434, 0.023855971172451973, 0.04594843462109566]","[[0.4583333432674408, 0.7476190328598022, 0.8650793433189392, 0.9293650984764099], [0.4781745970249176, 0.7809523940086365, 0.891269862651825, 0.9440476298332214], [0.2936508059501648, 0.6480158567428589, 0.8035714030265808, 0.8972222208976746], [0.4563491940498352, 0.7726190686225891, 0.8797619342803955, 0.9404761791229248], [0.40238094329833984, 0.708730161190033, 0.8365079164505005, 0.9138888716697693], [0.49960318207740784, 0.8047618865966797, 0.9107142686843872, 0.9579365253448486], [0.46984127163887024, 0.7650793790817261, 0.8666666746139526, 0.9341269731521606], [0.5126984119415283, 0.7908729910850525, 0.8845238089561462, 0.9333333373069763], [0.4849206209182739, 0.803174614906311, 0.913095235824585, 0.9539682269096375], [0.3916666805744171, 0.8138889074325562, 0.9357143044471741, 0.9607142806053162]]",45,MeanPoolLinear_NLL,MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed45,meanpool_linear,MeanPoolLinear,nll,NLL
3,lo10,2520,0.5468390583992004,0.43279963731765747,-0.30293524265289307,0.2569546699523926,0.07715042680501938,0.07715042680501938,"[0.06643953174352646, 0.022486612200737, 0.08022326231002808, 0.3595861792564392, 0.06645293533802032, 0.05653844028711319, 0.03496386110782623, 0.018243903294205666, 0.01944679021835327, 0.04712275415658951]","[[0.43888887763023376, 0.7436507940292358, 0.8670634627342224, 0.9269841313362122], [0.4912698268890381, 0.779365062713623, 0.8884920477867126, 0.9416666626930237], [0.4166666567325592, 0.7226190567016602, 0.8476190567016602, 0.916269838809967], [0.11428571492433548, 0.4515872895717621, 0.6873015761375427, 0.8297619223594666], [0.45396825671195984, 0.7448412775993347, 0.867460310459137, 0.9337301850318909], [0.45992064476013184, 0.7623015642166138, 0.882539689540863, 0.938095211982727], [0.4416666626930237, 0.7448412775993347, 0.8666666746139526, 0.928174614906311], [0.5182539820671082, 0.8051587343215942, 0.8984127044677734, 0.9476190209388733], [0.4948412775993347, 0.8003968000411987, 0.9051587581634521, 0.9559524059295654], [0.39841270446777344, 0.8063492178916931, 0.9277777671813965, 0.9623016119003296]]",45,MeanPoolLinear_NLL,MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed45,meanpool_linear,MeanPoolLinear,nll,NLL
3,hi10,2520,0.5455282330513,0.42945733666419983,-0.3131010830402374,0.2687651216983795,0.06690657138824463,0.06690657138824463,"[0.04177612066268921, 0.04813164100050926, 0.08039423823356628, 0.3138011693954468, 0.02912706695497036, 0.05135758966207504, 0.021069005131721497, 0.017629140987992287, 0.021376021206378937, 0.044403716921806335]","[[0.4861111044883728, 0.7968254089355469, 0.9003968238830566, 0.9519841074943542], [0.4404761791229248, 0.7492063641548157, 0.875, 0.9345238208770752], [0.4027777910232544, 0.7265872955322266, 0.8619047403335571, 0.9218254089355469], [0.16428571939468384, 0.5035714507102966, 0.7142857313156128, 0.8571428656578064], [0.4773809611797333, 0.7952380776405334, 0.9055555462837219, 0.9539682269096375], [0.47460317611694336, 0.7531746029853821, 0.8654761910438538, 0.9273809790611267], [0.5186507701873779, 0.8142856955528259, 0.913095235824585, 0.9611111283302307], [0.5186507701873779, 0.7964285612106323, 0.8813492059707642, 0.9333333373069763], [0.5055555701255798, 0.8079364895820618, 0.9079365134239197, 0.9579365253448486], [0.39841270446777344, 0.8226190209388733, 0.9384920597076416, 0.9690476059913635]]",45,MeanPoolLinear_NLL,MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed45,meanpool_linear,MeanPoolLinear,nll,NLL
4,lo10,2520,0.5403732061386108,0.42338505387306213,-0.33667951822280884,0.24004580080509186,0.07900365442037582,0.07900365442037582,"[0.058776434510946274, 0.04157296195626259, 0.04211548715829849, 0.06898057460784912, 0.38396430015563965, 0.07541757076978683, 0.027625134214758873, 0.027569066733121872, 0.015164989978075027, 0.048850033432245255]","[[0.4515872895717621, 0.7869047522544861, 0.901190459728241, 0.9539682269096375], [0.4781745970249176, 0.766269862651825, 0.8809523582458496, 0.940079391002655], [0.5146825313568115, 0.8142856955528259, 0.9150793552398682, 0.9603174328804016], [0.4337301552295685, 0.7190476059913635, 0.8400793671607971, 0.9095237851142883], [0.0932539701461792, 0.4357142746448517, 0.6920635104179382, 0.8436508178710938], [0.4293650686740875, 0.7242063283920288, 0.8424603343009949, 0.9138888716697693], [0.4710317552089691, 0.7690476179122925, 0.8845238089561462, 0.9408730268478394], [0.48253968358039856, 0.7908729910850525, 0.8928571343421936, 0.9496031999588013], [0.4908730089664459, 0.7980158925056458, 0.898809552192688, 0.9456349015235901], [0.39325398206710815, 0.8158730268478394, 0.9365079402923584, 0.9678571224212646]]",45,MeanPoolLinear_NLL,MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed45,meanpool_linear,MeanPoolLinear,nll,NLL
4,hi10,2520,0.5073217153549194,0.40088701248168945,-0.38552531599998474,0.24898074567317963,0.06451544910669327,0.06451544910669327,"[0.031140675768256187, 0.019458675757050514, 0.06731400638818741, 0.049087896943092346, 0.3354205787181854, 0.042045123875141144, 0.01515927817672491, 0.015548916533589363, 0.020315222442150116, 0.049664098769426346]","[[0.5099206566810608, 0.8166666626930237, 0.9154762029647827, 0.9527778029441833], [0.4789682626724243, 0.7884920835494995, 0.8992063403129578, 0.9503968358039856], [0.550000011920929, 0.8440476059913635, 0.9242063760757446, 0.9583333134651184], [0.4749999940395355, 0.7654761672019958, 0.8797619342803955, 0.9412698149681091], [0.13769841194152832, 0.5107142925262451, 0.7432539463043213, 0.8710317611694336], [0.460317462682724, 0.77182537317276, 0.8837301731109619, 0.9388889074325562], [0.494047611951828, 0.803174614906311, 0.9111111164093018, 0.961904764175415], [0.5384920835494995, 0.8123015761375427, 0.8960317373275757, 0.940079391002655], [0.4853174686431885, 0.7865079641342163, 0.9035714268684387, 0.9519841074943542], [0.369047611951828, 0.8126984238624573, 0.9373015761375427, 0.9742063283920288]]",45,MeanPoolLinear_NLL,MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed45,meanpool_linear,MeanPoolLinear,nll,NLL
